fighter_id,name,height_in,weight_lbs,reach_in,stance,dob,LEAK_record_raw,LEAK_record_wins,LEAK_record_losses,LEAK_record_draws,LEAK_record_nc,LEAK_slpm,LEAK_str_acc_pct,LEAK_sapm,LEAK_str_def_pct,LEAK_td_avg,LEAK_td_acc_pct,LEAK_td_def_pct,LEAK_sub_avg,reach_in_imputed,reach_imputed
001eb2ab0f30e7ea,Mark Choinski,68.0,155.0,69.0,Orthodox,1995-10-22,8-1-0,8,1,0,0,3.87,50.0,7.33,33.0,2.0,18.0,0.0,0.0,69.0,False
002ca196477ce572,Gabriel Silva,66.0,135.0,71.0,Orthodox,1994-08-26,8-2-0,8,2,0,0,1.3,34.0,3.47,45.0,1.5,25.0,38.0,0.5,71.0,False
003d82fa384ca1d0,Aalon Cruz,72.0,145.0,78.0,Switch,1989-09-20,8-4-0,8,4,0,0,7.58,39.0,8.88,58.0,0.0,0.0,0.0,0.0,78.0,False
0052de90691d4a93,Davi Ramos,66.0,155.0,70.0,Orthodox,1986-11-05,10-4-0,10,4,0,0,2.64,37.0,3.44,56.0,1.95,40.0,83.0,0.6,70.0,False
008dc37cca279def,Sean McCorkle,79.0,265.0,81.0,Orthodox,1976-07-17,17-7-0,17,7,0,0,0.85,44.0,2.48,52.0,2.12,40.0,33.0,4.2,81.0,False
008ea710276c9606,Jeff Molina,66.0,125.0,69.0,Orthodox,1997-07-17,11-2-0,11,2,0,0,7.25,48.0,5.04,55.0,0.0,0.0,66.0,0.0,69.0,False
009341ed974bad72,Jiri Prochazka,75.0,205.0,80.0,Orthodox,1992-10-14,32-6-1,32,6,1,0,5.61,55.0,5.67,45.0,0.49,60.0,68.0,0.2,80.0,False
009c4420727149ea,AJ Dobson,73.0,185.0,76.0,Orthodox,1992-01-18,7-3-0 (1 NC),7,3,0,1,4.29,46.0,5.31,46.0,1.67,75.0,65.0,0.3,76.0,False
00a3ff40c4b2cf21,Glaico Franca Moreira,72.0,155.0,77.0,Orthodox,1991-02-28,15-5-0,15,5,0,0,2.35,42.0,3.46,47.0,2.68,42.0,76.0,0.3,77.0,False
00debc804e2b1cd4,Dylan Andrews,73.0,185.0,74.0,Switch,1979-11-15,18-7-0 (1 NC),18,7,0,1,2.21,50.0,2.72,46.0,2.83,50.0,57.0,0.4,74.0,False
00e11b5c8b7bfeeb,Luke Rockhold,75.0,185.0,77.0,Southpaw,1984-10-17,16-6-0,16,6,0,0,4.1,49.0,2.68,53.0,0.7,29.0,65.0,1.0,77.0,False
