DOB,Height,Reach,SApM,SLpM,STANCE,Str. Acc.,Str. Def,Sub. Avg.,TD Acc.,TD Avg.,TD Def.,Weight,fighter_id,name,record
"Oct 22, 1995","5' 8""","69""",7.33,3.87,Orthodox,50%,33%,0.0,18%,2.00,0%,155 lbs.,001eb2ab0f30e7ea,Mark Choinski,8-1-0
"Aug 26, 1994","5' 6""","71""",3.47,1.30,Orthodox,34%,45%,0.5,25%,1.50,38%,135 lbs.,002ca196477ce572,Gabriel Silva,8-2-0
"Sep 20, 1989","6' 0""","78""",8.88,7.58,Switch,39%,58%,0.0,0%,0.00,0%,145 lbs.,003d82fa384ca1d0,Aalon Cruz,8-4-0
"Nov 05, 1986","5' 6""","70""",3.44,2.64,Orthodox,37%,56%,0.6,40%,1.95,83%,155 lbs.,0052de90691d4a93,Davi Ramos,10-4-0
"Jul 17, 1976","6' 7""","81""",2.48,0.85,Orthodox,44%,52%,4.2,40%,2.12,33%,265 lbs.,008dc37cca279def,Sean McCorkle,17-7-0
"Jul 17, 1997","5' 6""","69""",5.04,7.25,Orthodox,48%,55%,0.0,0%,0.00,66%,125 lbs.,008ea710276c9606,Jeff Molina,11-2-0
"Oct 14, 1992","6' 3""","80""",5.67,5.61,Orthodox,55%,45%,0.2,60%,0.49,68%,205 lbs.,009341ed974bad72,Jiri Prochazka,32-6-1
"Jan 18, 1992","6' 1""","76""",5.31,4.29,Orthodox,46%,46%,0.3,75%,1.67,65%,185 lbs.,009c4420727149ea,AJ Dobson,7-3-0 (1 NC)
"Feb 28, 1991","6' 0""","77""",3.46,2.35,Orthodox,42%,47%,0.3,42%,2.68,76%,155 lbs.,00a3ff40c4b2cf21,Glaico Franca Moreira,15-5-0
"Nov 15, 1979","6' 1""","74""",2.72,2.21,Switch,50%,46%,0.4,50%,2.83,57%,185 lbs.,00debc804e2b1cd4,Dylan Andrews,18-7-0 (1 NC)
"Oct 17, 1984","6' 3""","77""",2.68,4.10,Southpaw,49%,53%,1.0,29%,0.70,65%,185 lbs.,00e11b5c8b7bfeeb,Luke Rockhold,16-6-0
"Mar 21, 1985","6' 1""","74""",1.68,1.68,Southpaw,32%,68%,0.5,46%,2.85,66%,185 lbs.,010986ee359fb863,John Salter,14-3-0
"May 17, 1988","6' 1""","77""",5.23,3.61,Orthodox,41%,38%,0.0,42%,0.96,72%,185 lbs.,0112352cb32f5026,Denis Tiuliulin,10-10-0 (1 NC)
"Aug 23, 1983","5' 8""",--,2.80,2.15,Orthodox,31%,56%,0.0,50%,0.81,50%,155 lbs.,013da757877044a2,Joe Brammer,7-3-1
"Aug 20, 1997","6' 1""","72""",3.61,4.76,Orthodox,47%,64%,1.0,53%,2.57,78%,170 lbs.,01641ba5df0c69b0,Gabriel Bonfim,20-1-0
"Aug 19, 1988","5' 6""","68""",3.52,3.73,Southpaw,50%,50%,0.2,52%,4.34,33%,125 lbs.,016a8d958883167c,Gina Mazany,7-6-0
"Feb 25, 1991","5' 3""","62""",3.97,2.54,Orthodox,43%,57%,0.8,83%,2.03,66%,125 lbs.,01784fbc27c68b14,Rachael Ostovich,4-6-0
"Oct 23, 1994","6' 1""","77""",2.17,3.25,Orthodox,60%,51%,1.2,25%,1.40,85%,170 lbs.,01afe0916a40c7c5,Shavkat Rakhmonov,19-0-0
"Nov 16, 1989","6' 4""","78""",6.65,6.04,Orthodox,45%,52%,0.0,50%,0.09,74%,250 lbs.,01b352b6a9074d5c,Chase Sherman,16-12-0
"Apr 05, 1979","5' 10""",--,2.31,2.62,Orthodox,49%,51%,0.4,41%,1.06,71%,185 lbs.,01b39decaf0abf6a,Benji Radach,21-7-0 (1 NC)
"Sep 27, 2000","5' 8""","69""",7.03,7.60,Orthodox,42%,52%,0.0,25%,0.24,55%,145 lbs.,01c9e4013afce141,Michael Aswell Jr.,11-5-0
"Jan 07, 1984","5' 9""","74""",2.83,2.76,Orthodox,54%,54%,0.0,25%,2.10,50%,155 lbs.,01d2ed8c502e3828,Caros Fodor,11-6-0
"May 31, 1977","5' 8""",--,17.86,1.43,Orthodox,9%,43%,0.0,0%,0.00,0%,170 lbs.,01daf32100ed7517,Koji Oishi,25-10-10
"Apr 23, 1980","5' 10""",--,6.10,1.10,Orthodox,20%,43%,0.0,0%,0.00,0%,185 lbs.,01f022fa494188e2,Josh Bryant,15-4-0
"Oct 22, 1980","5' 8""","69""",4.68,3.47,Orthodox,42%,53%,0.6,0%,0.00,52%,135 lbs.,01fcef7e3d051722,Henry Briones,16-8-1
"Jun 15, 1993","5' 7""","67""",3.90,3.71,Switch,46%,44%,0.0,52%,2.83,58%,135 lbs.,01fed6f61ebea01f,Jay Perrin,10-7-0
